Time,AccumGyroZ,AngularVelocityZDevice,AngularVelocityZWorld,Yaw,
403.367,558.457031,,,,
403.367,558.457031,,,,
403.367,558.457031,,,,
403.367,558.457031,,,,
403.615,558.457031,,,,
403.615,558.457031,,,,
403.615,558.457031,,,,
403.615,558.457031,,,,
403.615,558.457031,,,,
403.866,558.457031,,,,
403.866,558.457031,,,,
403.866,558.457031,,,,
403.866,558.457031,,,,
403.866,558.457031,,,,
404.116,558.457031,,,,
404.116,558.457031,,,,
404.116,558.457031,,,,
404.116,558.457031,,,,
404.116,558.457031,,,,
404.116,558.457031,,,,
404.366,558.457031,,,,
404.366,558.457031,,,,
404.366,558.457031,,,,
404.366,558.457031,,,,
404.366,558.457031,,,,
404.616,558.457031,,,,
404.616,558.457031,,,,
404.616,558.457031,,,,
404.616,558.457031,,,,
404.616,558.457031,,,,
404.867,558.457031,,,,
404.867,558.457031,,,,
404.867,558.457031,,,,
404.867,558.457031,,,,
404.867,558.457031,,,,
405.115,558.457031,,,,
405.115,558.457031,,,,
405.115,558.457031,,,,
405.115,558.457031,,,,
405.115,558.457031,,,,
405.367,558.457031,,,,
405.367,558.457031,,,,
405.367,558.457031,,,,
405.367,558.457031,,,,
405.367,558.457031,,,,
405.615,558.457031,,,,
405.615,558.457031,,,,
405.615,558.457031,,,,
405.615,558.457031,,,,
405.615,558.457031,,,,
405.615,558.457031,,,,
405.866,558.457031,,,,
405.866,558.457031,,,,
405.866,558.457031,,,,
405.866,558.457031,,,,
405.866,558.457031,,,,
406.115,558.457031,,,,
406.115,558.457031,,,,
406.115,558.457031,,,,
406.115,558.457031,,,,
406.115,558.457031,,,,
406.366,558.457031,,,,
406.366,558.457031,,,,
406.366,558.457031,,,,
406.366,558.457031,,,,
406.366,558.457031,,,,
406.366,558.457031,,,,
406.616,558.457031,,,,
406.616,558.457031,,,,
406.616,558.457031,,,,
406.616,558.457031,,,,
406.616,558.457031,,,,
406.865,558.457031,,,,
406.865,558.457031,,,,
406.865,558.457031,,,,
406.865,558.457031,,,,
406.865,558.457031,,,,
407.116,558.457031,,,,
407.116,558.457031,,,,
407.116,558.457031,,,,
407.116,558.457031,,,,
407.116,558.457031,,,,
407.366,558.457031,,,,
407.366,558.457031,,,,
407.366,558.457031,,,,
407.366,558.457031,,,,
407.366,558.457031,,,,
407.366,558.457031,,,,
407.616,558.457031,,,,
407.616,558.457031,,,,
407.616,558.457031,,,,
407.616,558.457031,,,,
407.616,558.457031,,,,
407.865,558.457031,,,,
407.865,558.457031,,,,
407.865,558.457031,,,,
407.865,558.457031,,,,
407.865,558.457031,,,,
408.116,558.457031,,,,
408.116,558.457031,,,,
408.116,558.457031,,,,
408.116,558.457031,,,,
408.116,558.457031,,,,
408.366,558.457031,,,,
408.366,558.457031,,,,
408.366,558.457031,,,,
408.366,558.457031,,,,
408.366,558.457031,,,,
408.366,558.457031,,,,
408.615,558.457031,,,,
408.615,558.457031,,,,
408.615,558.457031,,,,
408.615,558.457031,,,,
408.615,558.457031,,,,
408.866,558.457031,,,,
408.866,558.457031,,,,
408.866,558.457031,,,,
408.866,558.457031,,,,
408.866,558.457031,,,,
409.114,558.457031,,,,
409.114,558.457031,,,,
409.114,558.457031,,,,
409.114,558.457031,,,,
409.114,558.457031,,,,
409.367,558.457031,,,,
409.367,558.457031,,,,
